Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.15980760496007E-05,8.21814090526396E-05,0.0336913119789112,0,0,0,2.14557612066222,0.0123490772291187,5.37617251605127E-05,1.15887648822595E-05,0.0107199229872288,-2.90270893356202E-06,0.0182527031006835,0,0,0,0,0,0,package://WheelLeg-V2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/base_link.STL,,机体^平衡轮腿机器人-V2-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_thigh_front_link,0.0320617230030558,0.017902617161224,-0.0185139939067478,0,0,0,0.0593628506953669,2.55908555874532E-05,-6.73358940377212E-06,3.17214435504595E-05,8.29099934419853E-05,3.88830117472773E-06,6.22071604291392E-05,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_thigh_front_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_thigh_front_link.STL,,新侧部copy-2/电机连接打印件-1-1;新侧部copy-2/大腿2-1;新侧部copy-2/5-13-4法兰轴承-10;新侧部copy-2/夹板螺母M4-4;新侧部copy-2/5-13-4法兰轴承-6;新侧部copy-2/垫片-0_5-3;新侧部copy-2/5-13-4法兰轴承-4;新侧部copy-2/5-13-4法兰轴承-5;新侧部copy-2/垫片-0_5-5,L_thigh_front_link,L_hip_front_joint,L_hip_front_joint,revolute,0.044,0.0825,0.04,0,0,0,base_link,0,1,0,9,5.236,-1.0472,0.6109,,,,,,,,
L_calf_front_link,-0.0832986591558881,-0.00064715588536834,-0.078131147965827,0,0,0,0.117176848715168,0.000216399023229147,3.04937199066848E-05,-0.000197950064141617,0.000423419586192241,2.85623730975337E-05,0.000241693729825474,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_calf_front_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_calf_front_link.STL,,新侧部copy-2/小腿V2-1;新侧部copy-2/支撑轮-2;轮毂V2-2/M2.5铜柱-3;轮毂V2-2/驱动板V2-1;轮毂V2-2/M2.5铜柱-2;轮毂V2-2/打印件驱动支撑柱V2-4;轮毂V2-2/M2.5铜柱-4;轮毂V2-2/打印件驱动支撑柱V2-2;轮毂V2-2/M2.5铜柱-1;轮毂V2-2/打印件驱动支撑柱V2-1;轮毂V2-2/驱动板连接打印件V2-1;轮毂V2-2/PM4310-1,L_calf_front_link,L_knee_front_joint,L_knee_front_joint,continuous,0.0727430394564673,0.0379999999999989,-0.0420053593084837,0,0,0,L_thigh_front_link,0,1,0,,,,,,,,,,,,
L_wheel_link,-8.01320179496873E-08,0.0353701017805994,2.59748077213741E-09,0,0,0,0.283294139929351,0.000343178306449479,1.80057726012297E-19,-1.86347248395946E-20,0.000614857260851645,9.26303319716482E-19,0.000343178306449479,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_wheel_link.STL,,轮毂V2-2/5x2充气轮胎-1;轮毂V2-2/轮毂V2-下压板-1;轮毂V2-2/M3-3;轮毂V2-2/轮毂V2-内圈-1;轮毂V2-2/M3-4;轮毂V2-2/M3-2;轮毂V2-2/M3-1;轮毂V2-2/M3-6;轮毂V2-2/M3-5;轮毂V2-2/轮毂V2-上压板-1,L_wheel_link,L_wheel_joint,L_wheel_joint,continuous,-0.116743108315966,-0.00649999999999956,-0.109412278381938,0,0,0,L_calf_front_link,0,1,0,0.9,31.416,,,,,,,,,,
L_thigh_rear_link,-0.036418392367195,0.0122680373161157,-0.0210126588833096,0,0,0,0.0505571251734487,2.0815885216036E-05,3.66872491713951E-06,-2.76115370082018E-05,7.15078243080975E-05,2.11645436508179E-06,5.27603396551535E-05,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_thigh_rear_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_thigh_rear_link.STL,,新侧部copy-2/4310电机垫块-1;新侧部copy-2/大腿-1;新侧部copy-2/夹板螺母M4-5;新侧部copy-2/5-13-4法兰轴承-1;新侧部copy-2/5-13-4法兰轴承-3;新侧部copy-2/5-13-4法兰轴承-9;新侧部copy-2/垫片-0_5-1;新侧部copy-2/垫片-0_5-2;新侧部copy-2/5-13-4法兰轴承-2,L_thigh_rear_link,L_hip_rear_joint,L_hip_rear_joint,revolute,-0.044,0.0825,0.04,0,0,0,base_link,0,-1,0,9,5.236,-1.0472,0.6109,,,,,,,,
L_calf_rear_link,0.0686975700435656,-0.00908835283202642,-0.064383855010239,0,0,0,0.0814760383602757,0.000141630814246906,2.45950857269284E-06,0.000144293790868938,0.000300976557602944,-2.305069061981E-06,0.000160359106838228,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_calf_rear_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/L_calf_rear_link.STL,,新侧部copy-2/支撑轮-1;新侧部copy-2/M3圆头-1;新侧部copy-2/5-13-4法兰轴承-8;新侧部copy-2/M3圆头-2;新侧部copy-2/M3圆头-3;新侧部copy-2/5-13-4法兰轴承-7;新侧部copy-2/小腿2-1;新侧部copy-2/垫片-0_5-4;新侧部copy-2/夹板螺母M4-1,L_calf_rear_link,L_knee_rear_joint,L_knee_rear_joint,continuous,-0.0727430776615918,0.0304999999999989,-0.0420052531270897,0,0,0,L_thigh_rear_link,0,1,0,,,,,,,,,,,,
R_thigh_front_link,0.0364183804819489,-0.0122680373161162,-0.0210126754451832,0,0,0,0.0505571251734486,2.08159103296651E-05,3.6687239546459E-06,2.76115515354688E-05,7.15078243080975E-05,-2.11645603349599E-06,5.27603145415244E-05,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_thigh_front_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_thigh_front_link.STL,,新侧部copy-1/4310电机垫块-1;新侧部copy-1/大腿-1;新侧部copy-1/夹板螺母M4-5;新侧部copy-1/5-13-4法兰轴承-1;新侧部copy-1/5-13-4法兰轴承-3;新侧部copy-1/垫片-0_5-1;新侧部copy-1/5-13-4法兰轴承-9;新侧部copy-1/5-13-4法兰轴承-2;新侧部copy-1/垫片-0_5-2,R_thigh_front_link,R_hip_front_joint,R_hip_front_joint,revolute,0.044,-0.0825,0.04,0,0,0,base_link,0,1,0,9,5.236,-1.0472,0.6109,,,,,,,,
R_calf_front_link,-0.0686975993231228,0.00908835283202642,-0.0643838237687486,0,0,0,0.0814760383602757,0.000141630683006849,2.45950962096156E-06,-0.000144293782351872,0.000300976557602944,2.30506794347785E-06,0.000160359238078284,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_calf_front_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_calf_front_link.STL,,新侧部copy-1/支撑轮-1;新侧部copy-1/小腿2-1;新侧部copy-1/M3圆头-1;新侧部copy-1/5-13-4法兰轴承-8;新侧部copy-1/M3圆头-3;新侧部copy-1/M3圆头-2;新侧部copy-1/5-13-4法兰轴承-7;新侧部copy-1/垫片-0_5-4;新侧部copy-1/夹板螺母M4-1,R_calf_front_link,R_knee_front_joint,R_knee_front_joint,continuous,0.0727430562295288,-0.0304999999999996,-0.0420052862083307,0,0,0,R_thigh_front_link,0,-1,0,,,,,,,,,,,,
R_thigh_rear_link,-0.0320617290933062,-0.0179026171612244,-0.0185140193452972,0,0,0,0.0593628506953669,2.55908267357399E-05,-6.7335911720418E-06,-3.17214268985654E-05,8.29099934419853E-05,-3.88829811251419E-06,6.22071892808524E-05,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_thigh_rear_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_thigh_rear_link.STL,,新侧部copy-1/电机连接打印件-1-1;新侧部copy-1/大腿2-1;新侧部copy-1/夹板螺母M4-4;新侧部copy-1/5-13-4法兰轴承-10;新侧部copy-1/5-13-4法兰轴承-4;新侧部copy-1/5-13-4法兰轴承-6;新侧部copy-1/垫片-0_5-3;新侧部copy-1/5-13-4法兰轴承-5;新侧部copy-1/垫片-0_5-5,R_thigh_rear_link,R_hip_rear_joint,R_hip_rear_joint,revolute,-0.0440000023293051,-0.0824999999999994,0.0400000400193226,0,0,0,base_link,0,-1,0,9,5.236,-1.0472,0.6109,,,,,,,,
R_calf_rear_link,0.0832986236245025,0.00064715588536825,-0.0781311858475131,0,0,0,0.117176848715168,0.0002163992032714,3.04937069174621E-05,0.000197950075644729,0.000423419586192242,-2.85623869650635E-05,0.000241693549783222,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_calf_rear_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_calf_rear_link.STL,,新侧部copy-1/支撑轮-2;轮毂V2-1/驱动板V2-1;轮毂V2-1/M2.5铜柱-4;轮毂V2-1/M2.5铜柱-3;轮毂V2-1/打印件驱动支撑柱V2-2;新侧部copy-1/小腿V2-1;轮毂V2-1/M2.5铜柱-2;轮毂V2-1/M2.5铜柱-1;轮毂V2-1/打印件驱动支撑柱V2-1;轮毂V2-1/打印件驱动支撑柱V2-4;轮毂V2-1/驱动板连接打印件V2-1;轮毂V2-1/PM4310-1,R_calf_rear_link,R_knee_rear_joint,R_knee_rear_joint,continuous,-0.0727430562298851,-0.0379999999999994,-0.0420053662462906,0,0,0,R_thigh_rear_link,0,-1,0,0.9,31.416,,,,,,,,,,
R_wheel_link,8.01322535528909E-08,-0.0353701017805995,2.59738447416778E-09,0,0,0,0.283294139929351,0.000343178306449479,1.94458940476845E-19,-1.51671837117724E-20,0.000614857260851645,-9.63837467191688E-19,0.000343178306449479,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_wheel_link.STL,1,1,1,1,0,0,0,0,0,0,package://WheelLeg-V2/meshes/R_wheel_link.STL,,轮毂V2-1/5x2充气轮胎-1;轮毂V2-1/轮毂V2-下压板-1;轮毂V2-1/M3-3;轮毂V2-1/M3-4;轮毂V2-1/轮毂V2-内圈-1;轮毂V2-1/M3-2;轮毂V2-1/M3-1;轮毂V2-1/M3-6;轮毂V2-1/M3-5;轮毂V2-1/轮毂V2-上压板-1,R_wheel_link,R_wheel_joint,R_wheel_joint,continuous,0.116743058558722,0.00649999999999951,-0.109412331472987,0,0,0,R_calf_rear_link,0,-1,0,,,,,,,,,,,,
